ballLocX_0,ballLocY_0,ballLocZ_0,ballVelX_0,ballVelY_0,ballVelZ_0,carLocX_0,carLocY_0,carLocZ_0,carPitch_0,carYaw_0,carRoll_0,carVelX_0,carVelY_0,carVelZ_0,ballLocX_1,ballLocY_1,ballLocZ_1,ballVelX_1,ballVelY_1,ballVelZ_1,carLocX_1,carLocY_1,carLocZ_1,carPitch_1,carYaw_1,carRoll_1,carVelX_1,carVelY_1,carVelZ_1,throttle,steer,time
575.4050903320312,2199.29150390625,93.11000061035156,-18.62099838256836,6.540999889373779,0.0,-3876.775634765625,-1646.88037109375,23.864593505859375,-0.1420849710702896,0.273240327835083,-0.05263471603393555,-100.23277282714844,-1.6202988624572754,26.52957534790039,541.2937622070312,2210.78515625,93.11000061035156,-17.130998611450195,5.421000003814697,0.0,-3309.68310546875,-499.01470947265625,17.010000228881836,-0.009491506032645702,1.6578497886657715,0.0,-88.47505950927734,1166.498779296875,8.310999870300293,0.7507444926217832,0.3376080029685065,1.9179704390480765
541.2937622070312,2210.78515625,93.11000061035156,-17.130998611450195,5.421000003814697,0.0,-3309.68310546875,-499.01470947265625,17.010000228881836,-0.009491506032645702,1.6578497886657715,0.0,-88.47505950927734,1166.498779296875,8.310999870300293,502.4305114746094,2222.33349609375,93.11000061035156,-15.25257682800293,5.110999584197998,0.0,-3979.363037109375,-336.8820495605469,64.79742431640625,0.04084223881363869,-1.6588084697723389,0.6325753331184387,-31.537246704101562,887.3173828125,34.228633880615234,-0.5403052950740936,0.9303488941441325,2.3943940831659347
502.4305114746094,2222.33349609375,93.11000061035156,-15.25257682800293,5.110999584197998,0.0,-3979.363037109375,-336.8820495605469,64.79742431640625,0.04084223881363869,-1.6588084697723389,0.6325753331184387,-31.537246704101562,887.3173828125,34.228633880615234,470.8057556152344,2232.88330078125,93.11000061035156,-13.525161743164062,5.110999584197998,0.0,-1867.27099609375,396.0388488769531,17.010000228881836,-0.009587380103766918,2.424840211868286,0.0,1118.3826904296875,-857.8544921875,8.321000099182129,-0.9099726904150993,0.49431891085860014,2.200556253562354
470.8057556152344,2232.88330078125,93.11000061035156,-13.525161743164062,5.110999584197998,0.0,-1867.27099609375,396.0388488769531,17.010000228881836,-0.009587380103766918,2.424840211868286,0.0,1118.3826904296875,-857.8544921875,8.321000099182129,469.50054931640625,2233.35791015625,93.11000061035156,-13.451000213623047,5.110999584197998,0.0,-1769.6080322265625,314.68017578125,17.010000228881836,-0.009395631961524487,2.3620429039001465,0.0,814.4554443359375,-740.05029296875,8.321000099182129,0.7098449149802786,0.19670765624497558,0.10498903718325892
469.50054931640625,2233.35791015625,93.11000061035156,-13.451000213623047,5.110999584197998,0.0,-1769.6080322265625,314.68017578125,17.010000228881836,-0.009395631961524487,2.3620429039001465,0.0,814.4554443359375,-740.05029296875,8.321000099182129,463.1393127441406,2235.671142578125,93.11000061035156,-13.071000099182129,5.110999584197998,0.0,-1513.11865234375,-107.11096954345703,17.010000228881836,-0.009587380103766918,1.4996579885482788,0.0,94.34130859375,-1090.5235595703125,8.331000328063965,-0.7357348177867523,0.9741777475138979,0.47824978911103244
463.1393127441406,2235.671142578125,93.11000061035156,-13.071000099182129,5.110999584197998,0.0,-1513.11865234375,-107.11096954345703,17.010000228881836,-0.009587380103766918,1.4996579885482788,0.0,94.34130859375,-1090.5235595703125,8.331000328063965,456.90399169921875,2237.9384765625,93.11000061035156,-12.701363563537598,5.110999584197998,0.0,-1588.05126953125,-626.4947509765625,17.010000228881836,-0.009587380103766918,1.4509540796279907,0.0,-158.93267822265625,-1142.5782470703125,8.310999870300293,-0.4167429046287451,-0.12590885935027962,0.47414244950323337
456.90399169921875,2237.9384765625,93.11000061035156,-12.701363563537598,5.110999584197998,0.0,-1588.05126953125,-626.4947509765625,17.010000228881836,-0.009587380103766918,1.4509540796279907,0.0,-158.93267822265625,-1142.5782470703125,8.310999870300293,447.6266174316406,2241.581298828125,93.11000061035156,-12.110662460327148,5.110999584197998,0.0,-1341.88134765625,-1484.8753662109375,17.010000228881836,-0.009587380103766918,2.5064287185668945,0.0,955.1473388671875,-872.3612670898438,8.321000099182129,-0.8950576348541062,-0.7419782684349805,0.7579574926453461
447.6266174316406,2241.581298828125,93.11000061035156,-12.110662460327148,5.110999584197998,0.0,-1341.88134765625,-1484.8753662109375,17.010000228881836,-0.009587380103766918,2.5064287185668945,0.0,955.1473388671875,-872.3612670898438,8.321000099182129,438.66900634765625,2245.164306640625,93.11000061035156,-11.520999908447266,5.110999584197998,0.0,-741.8510131835938,-2024.6832275390625,17.010000228881836,-0.009683254174888134,2.01737642288208,9.58738019107841e-05,473.34674072265625,-918.91357421875,8.301000595092773,-0.9986826575737888,0.1837419649468963,0.7834082735212178
438.66900634765625,2245.164306640625,93.11000061035156,-11.520999908447266,5.110999584197998,0.0,-741.8510131835938,-2024.6832275390625,17.010000228881836,-0.009683254174888134,2.01737642288208,9.58738019107841e-05,473.34674072265625,-918.91357421875,8.301000595092773,436.59210205078125,2245.996826171875,93.11000061035156,-11.386789321899414,5.110999584197998,0.0,-661.928955078125,-2192.931884765625,17.010000228881836,-0.009683254174888134,1.9958049058914185,0.0,462.5068054199219,-1016.4072265625,8.301000595092773,-0.9732209119577725,-0.0006818816152481315,0.19823343337611732
436.59210205078125,2245.996826171875,93.11000061035156,-11.386789321899414,5.110999584197998,0.0,-661.928955078125,-2192.931884765625,17.010000228881836,-0.009683254174888134,1.9958049058914185,0.0,462.5068054199219,-1016.4072265625,8.301000595092773,417.18255615234375,2254.793701171875,93.11000061035156,-9.947568893432617,5.110999584197998,0.0,1292.6004638671875,-2497.52197265625,17.010000228881836,-0.009587380103766918,-2.1885111331939697,0.0,902.9312744140625,1082.973876953125,8.310999870300293,-0.9976055574488983,-0.6062391176743622,1.828346334953494
417.18255615234375,2254.793701171875,93.11000061035156,-9.947568893432617,5.110999584197998,0.0,1292.6004638671875,-2497.52197265625,17.010000228881836,-0.009587380103766918,-2.1885111331939697,0.0,902.9312744140625,1082.973876953125,8.310999870300293,405.6072998046875,2260.581298828125,93.11000061035156,-9.00100040435791,5.110999584197998,0.0,2248.939208984375,-1095.0352783203125,17.010000228881836,-0.009587380103766918,-2.2273402214050293,9.58738019107841e-05,852.9229125976562,1122.4866943359375,8.310999870300293,-0.30761967383538746,0.05595491680811263,1.245713203206833
